INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
B013X;LLUC;BALEARES;ESCORCA;490;39,823333;2,885833;1003867;4424762;ETRS89;08304;01/04/1993;
B051A;SÓLLER;BALEARES;SÓLLER;5;39,795556;2,691389;987408;4420595;ETRS89;08316;01/07/2020;
B087X;BANYALBUFAR;BALEARES;BANYALBUFAR;60;39,689167;2,512778;972832;4407816;ETRS89;;01/11/2008;
B103B;ANDRATX - SANT ELM;BALEARES;ANDRATX;52;39,579167;2,368889;961216;4394846;ETRS89;99103;01/05/2018;
B158X;CALVIÀ, ES CAPDELLÀ;BALEARES;CALVIÀ;50;39,551389;2,466389;969785;4392268;ETRS89;;01/11/2008;
B228;PALMA-PUERTO;BALEARES;PALMA;3;39,555278;2,625278;983421;4393545;ETRS89;08301;01/01/1978;
B228D;PALMA DIC DE L'OEST;BALEARES;PALMA;7;39,552500;2,639167;984635;4393311;ETRS89;;01/10/2013;
B236C;PALMA-UNIVERSITAT;BALEARES;PALMA;95;39,642222;2,643611;984389;4403302;ETRS89;;01/11/2008;
B248;SIERRA DE ALFABIA;BALEARES;BUNYOLA;1030;39,735000;2,713056;989695;4413987;ETRS89;08303;01/04/1971;
B275E;SON BONET, AEROPUERTO;BALEARES;MARRATXÍ;49;39,605833;2,706667;990062;4399603;ETRS89;08302;01/07/2021;
B278;PALMA DE MALLORCA/SON SAN JUAN;BALEARES;PALMA;8;39,560833;2,736667;992960;4394769;ETRS89;08306;01/01/1951;
B301;LLUCMAJOR-RADAR;BALEARES;LLUCMAJOR;113;39,379722;2,785000;998412;4374917;ETRS89;08308;01/11/2008;
B341X;PORRERES-SA MESQUIDA;BALEARES;PORRERES;149;39,506111;3,005556;1016489;4390204;ETRS89;;01/07/2022;
B346X;PORRERES;BALEARES;PORRERES;120;39,521667;3,019167;1017544;4392011;ETRS89;08310;01/02/1989;31/07/2022
B362X;CAMPOS-CAN SION;BALEARES;CAMPOS;40;39,405833;3,064167;1022285;4379403;ETRS89;;01/03/2004;
B373X;CAMPOS-SALINES LEVANT;BALEARES;CAMPOS;3;39,351111;3,011944;1018191;4373021;ETRS89;;01/10/2008;
B398A;CABRERA, PARQUE NACIONAL DE CABRERA;BALEARES;PALMA;165;39,135556;2,936667;1013273;4348643;ETRS89;;01/05/2011;
B410B;SANTANYÍ;BALEARES;SANTANYÍ;45;39,340000;3,145833;1029824;4372567;ETRS89;;01/05/2015;
B434X;PORTO COLOM;BALEARES;FELANITX;17;39,414444;3,271667;1040104;4381587;ETRS89;08309;01/01/1993;
B496X;SON SERVERA-CAN PEP MONJO;BALEARES;SON SERVERA;25;39,630278;3,383611;1048044;4406248;ETRS89;;01/10/2008;
B569X;CAPDEPERA, FARO;BALEARES;CAPDEPERA;57;39,716667;3,478056;1055463;4416431;ETRS89;08311;01/01/1989;
B605X;MURO-S'ALBUFERA;BALEARES;MURO;2;39,796667;3,104722;1022821;4423061;ETRS89;;01/04/2005;
B614E;MANACOR-POLIESPORTIU;BALEARES;MANACOR;95;39,556944;3,217778;1034362;4397097;ETRS89;;01/11/2008;
B640X;PETRA;BALEARES;PETRA;95;39,616389;3,121111;1025597;4403129;ETRS89;;01/02/2021;
B644B;SINEU-POLIESPORTIU;BALEARES;SINEU;120;39,643333;3,002222;1015181;4405430;ETRS89;;01/11/2008;
B656A;SANTA MARÍA DEL CAMÍ;BALEARES;SANTA MARÍA DEL CAMÍ;121;39,652500;2,800278;997770;4405304;ETRS89;;01/05/2015;
B662X;BINISSALEM-SA VINYOTA;BALEARES;BINISSALEM;105;39,678056;2,873889;1003905;4408556;ETRS89;;01/11/2008;
B691Y;SA POBLA SA CANOVA;BALEARES;SA POBLA;40;39,749167;3,016667;1015630;4417271;ETRS89;08312;01/04/2011;
B760X;POLLENÇA-POLIESPORTIU;BALEARES;POLLENÇA;35;39,876944;3,024167;1015314;4431510;ETRS89;;01/03/2009;
B780X;PORT POLLENÇA-AERODROM;BALEARES;POLLENÇA;2;39,909444;3,100278;1021581;4435565;ETRS89;;01/02/1989;
B800X;EVC_MAÓ;BALEARES;MAÓ-MAHÓN;78;39,876111;4,323889;1126601;4439770;ETRS89;;01/01/2010;
B825B;MERCADAL;BALEARES;ES MERCADAL;80;39,990556;4,086389;1105247;4450840;ETRS89;;01/11/2008;
B870C;CIUTADELLA-CALA GALDANA;BALEARES;CIUTADELLA DE MENORCA;43;39,944722;3,956667;1094557;4444868;ETRS89;;01/07/2015;
B893;MENORCA/AEROPUERTO;BALEARES;MAÓ-MAHÓN;91;39,854722;4,215556;1117516;4436634;ETRS89;08314;01/01/1965;
B925;SANT ANTONI DE PORTMANY;BALEARES;SANT ANTONI DE PORTMANY;32;38,963056;1,321389;874466;4321570;ETRS89;;01/07/2018;
B954;IBIZA/ES CODOLÁ;BALEARES;SANT JOSEP DE SA TALAIA;6;38,876389;1,384444;880396;4312208;ETRS89;08373;01/01/1944;
B957;EIVISSA;BALEARES;SANTA EULÀRIA DES RIU;3;38,922500;1,441389;885089;4317568;ETRS89;;01/06/2015;
B986;FORMENTERA;BALEARES;FORMENTERA;24;38,693611;1,463611;888260;4292246;ETRS89;;01/06/2015;
