INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
C018J;TÕAS (LAS VEGAS);LAS PALMAS;TÕAS;376;28,968333;-13,691389;-544895;3252048;REGCAN95;;01/09/1988;
C019V;YAIZA (PLAYA BLANCA);LAS PALMAS;YAIZA;6;28,857500;-13,836111;-560276;3240962;REGCAN95;;01/01/1992;
C029O;LANZAROTE/AEROPUERTO;LAS PALMAS;SAN BARTOLOM…;14;28,951944;-13,600278;-536098;3249414;REGCAN95;60040;01/11/1972;
C029R;ARRECIFE (GRANJA CABILDO);LAS PALMAS;ARRECIFE;110;28,999722;-13,558889;-531551;3254373;REGCAN95;;01/01/1992;
C038N;HARÕA-CEMENTERIO;LAS PALMAS;HARÕA;277;29,143611;-13,489167;-523247;3269853;REGCAN95;;01/11/2008;
C048W;TINAJO-LOS DOLORES;LAS PALMAS;TINAJO;275;29,042500;-13,680833;-543094;3260260;REGCAN95;;01/11/2008;
C101A;ROQUE DE LOS MUCHACHOS;SANTA CRUZ DE TENERIFE;GARAFÕA;2223;28,755833;-17,895278;-963059;3273775;ETRS89;;01/11/2019;
C117A;PUNTAGORDA;SANTA CRUZ DE TENERIFE;PUNTAGORDA;684;28,760833;-17,985556;-971962;3275491;REGCAN95;;01/10/1934;
C117Z;TIJARAFE-MIRADOR TIME;SANTA CRUZ DE TENERIFE;TIJARAFE;733;28,674722;-17,936944;-968373;3265154;REGCAN95;;01/05/2009;
C126A;EL PASO-C.F.;SANTA CRUZ DE TENERIFE;EL PASO;844;28,653889;-17,853333;-960353;3261742;REGCAN95;;01/11/1971;
C129V;FUENCALIENTE-SALINAS;SANTA CRUZ DE TENERIFE;FUENCALIENTE DE LA PALMA;30;28,455000;-17,841111;-961977;3239150;REGCAN95;;01/02/2010;
C129Z;TAZACORTE;SANTA CRUZ DE TENERIFE;TAZACORTE;62;28,595833;-17,915278;-967353;3255977;REGCAN95;60004;01/01/2000;
C139E;LA PALMA/AEROPUERTO;SANTA CRUZ DE TENERIFE;BRE—A BAJA;33;28,633056;-17,755000;-950866;3258153;REGCAN95;60005;01/04/1970;
C148F;SAUCES-S.ANDR…S-BALSA ADEYAHAME;SANTA CRUZ DE TENERIFE;SAN ANDR…S Y SAUCES;362;28,805000;-17,782500;-951145;3277891;REGCAN95;;01/05/2009;
C229J;P¡JARA-PTO. MORRO JABLE;LAS PALMAS;P¡JARA;15;28,049167;-14,358056;-620353;3155328;REGCAN95;60034;01/02/1993;
C239N;TUINEJE-PUERTO GRAN TARAJAL;LAS PALMAS;TUINEJE;1;28,208611;-14,023056;-585438;3170077;REGCAN95;;01/11/2008;
C248E;ANTIGUA-EL CARB”N;LAS PALMAS;ANTIGUA;252;28,417222;-14,019444;-582925;3193391;REGCAN95;;01/09/1961;
C249I;FUERTEVENTURA/AEROPUERTO;LAS PALMAS;PUERTO DEL ROSARIO;25;28,444722;-13,863056;-567173;3195044;REGCAN95;60035;01/01/1967;
C258K;LA OLIVA (CARRETERA DEL COTILLO);LAS PALMAS;LA OLIVA;217;28,612500;-13,931944;-572254;3214441;REGCAN95;;01/09/1961;
C259X;LA OLIVA-PUERTO DE CORRALEJO;LAS PALMAS;LA OLIVA;6;28,740556;-13,863333;-564161;3228142;REGCAN95;;01/12/2008;
C314Z;VALLEHERMOSO-ALTO IGUALERO;SANTA CRUZ DE TENERIFE;ALAJER”;1475;28,106944;-17,249167;-907710;3192642;REGCAN95;;01/07/2009;
C316I;ARURE CEMENTERIO;SANTA CRUZ DE TENERIFE;VALLE GRAN REY;916;28,128333;-17,315000;-914000;3195841;ETRS89;;01/08/2018;
C317B;AGULO-JUEGO BOLAS;SANTA CRUZ DE TENERIFE;AGULO;765;28,178889;-17,213056;-903134;3200317;REGCAN95;;01/04/1985;
C319W;VALLEHERMOSO-DAMA;SANTA CRUZ DE TENERIFE;VALLEHERMOSO;190;28,054444;-17,306667;-914166;3187413;REGCAN95;;01/07/2009;
C328W;HERMIGUA-DEP”SITO AYUNTAMIENTO;SANTA CRUZ DE TENERIFE;HERMIGUA;252;28,163611;-17,194167;-901454;3198371;REGCAN95;;01/07/2009;
C329B;LA GOMERA/AEROPUERTO;SANTA CRUZ DE TENERIFE;ALAJER”;219;28,031667;-17,210833;-904890;3183701;REGCAN95;60007;01/12/2001;
C329Z;SAN SEBASTI¡N DE LA GOMERA;SANTA CRUZ DE TENERIFE;SAN SEBASTI¡N DE LA GOMERA;15;28,089722;-17,111389;-894175;3189063;REGCAN95;60008;01/01/1995;
C406G;CA—ADAS PARADOR;SANTA CRUZ DE TENERIFE;LA OROTAVA;2150;28,224167;-16,626389;-844015;3198562;REGCAN95;;01/03/1983;
C419L;LOMO DEL BALO;SANTA CRUZ DE TENERIFE;GUÕA DE ISORA;403;28,206944;-16,791944;-860743;3198527;REGCAN95;;01/07/2018;
C419X;ADEJE-CALDERA B;SANTA CRUZ DE TENERIFE;ADEJE;130;28,081389;-16,711111;-854309;3183464;REGCAN95;;01/01/1975;
C428T;ARICO-DEPURADORA LA DEGOLLADA;SANTA CRUZ DE TENERIFE;ARICO;418;28,181111;-16,483611;-830336;3192097;REGCAN95;;01/05/2009;
C429I;TENERIFE/SUR;SANTA CRUZ DE TENERIFE;GRANADILLA DE ABONA;64;28,046944;-16,561111;-839777;3177879;REGCAN95;60025;01/07/1980;
C430E;IZA—A;SANTA CRUZ DE TENERIFE;LA OROTAVA;2369;28,308889;-16,499444;-830282;3206650;REGCAN95;60010;01/01/1916;
C438N;CANDELARIA-DEPOSITO CUEVECITAS;SANTA CRUZ DE TENERIFE;CANDELARIA;463;28,358889;-16,401389;-819887;3211166;REGCAN95;;01/05/2009;
C439J;TENERIFE-G‹ÕMAR;SANTA CRUZ DE TENERIFE;G‹ÕMAR;115;28,318333;-16,382222;-818495;3206389;REGCAN95;60018;01/01/2014;
C446G;LAS MERCEDES-LLANO LOS LOROS;SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE;868;28,526667;-16,280556;-805749;3228673;REGCAN95;;01/07/2009;
C447A;TENERIFE/LOS RODEOS;SANTA CRUZ DE TENERIFE;SAN CRIST”BAL DE LA LAGUNA;632;28,477500;-16,329444;-811227;3223694;REGCAN95;60015;01/08/1941;
C449C;STA. CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE;36;28,463333;-16,255278;-804039;3221271;REGCAN95;60020;01/10/1867;
C449F;ANAGA-COL. REP. ARGENTINA;SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE;19;28,508056;-16,195556;-797545;3225634;REGCAN95;;01/05/2009;
